Employee ID,Department,Department Area,Degree of Leadership,Gender,Sexual Orientation,Race,Age,Education,Work Environment,City,Marital Status,Full-Time or Contract,Salary,Hire Date,Termination Date,Years of Service,Termination Type,Termination Reason,Employee Status,JobSatisfaction,WorkLifeBalance,YearsSinceLastPromotion,PerformanceRating
5970265572,9,9.1,1,0,0,3,27,1,0,17,0,0,2,12/23/15,0,7,0,0,0,2,3,1,3
4368842589,4,4.2,1,1,0,0,43,1,0,6,0,0,1,10/21/15,0,7,0,0,0,1,3,2,3
1208397417,11,11.2,1,0,0,1,29,2,0,17,0,0,0,8/20/17,0,5,0,0,0,1,2,3,3
7978060565,0,0.1,1,1,0,0,38,2,0,17,0,0,0,8/31/13,0,9,0,0,0,3,2,9,3
4875403673,1,1.2,2,0,0,1,21,1,0,12,0,0,0,4/3/21,0,1,0,0,0,3,2,1,3
9734696621,10,10.1,1,0,0,2,35,1,0,0,1,0,2,10/8/19,0,3,0,0,0,2,3,2,4
6647006293,7,7.1,1,1,0,2,23,1,0,16,0,0,2,5/3/14,3/31/16,1,1,1.4,1,2,3,1,3
6589898354,4,4.2,1,1,0,0,33,3,0,19,0,0,0,7/11/18,0,4,0,0,0,2,3,1,3
173519645,3,3.2,1,0,0,0,37,1,1,11,0,0,2,10/21/18,0,4,0,0,0,4,3,2,3
2311589941,4,4.1,1,0,0,0,29,1,0,16,0,0,1,8/9/21,0,1,0,0,0,4,3,1,4
5391435752,11,11.2,1,0,0,0,33,1,0,2,0,0,2,11/23/16,0,6,0,0,0,1,3,2,3
4784220528,6,6.2,1,0,0,0,39,2,0,8,0,0,1,6/4/19,0,3,0,0,0,1,4,0,3
2099350203,7,7.1,1,0,0,0,24,1,0,19,0,0,0,6/2/12,0,10,0,0,0,3,4,0,3
3308213158,1,1.2,1,0,0,1,41,1,0,2,1,1,0,3/21/17,0,5,0,0,0,2,3,0,4
1746330094,7,7.2,1,0,0,0,29,1,1,11,0,0,1,7/30/13,0,9,0,0,0,4,2,3,3
8272818571,3,3.3,1,0,0,0,35,1,1,11,0,0,1,8/22/13,0,9,0,0,0,3,3,9,3
2363413085,3,3.2,1,0,0,0,34,1,1,17,1,0,0,4/18/21,0,1,0,0,0,4,3,1,3
8384834713,12,12.3,1,0,0,0,24,1,1,17,0,0,1,3/17/15,0,7,0,0,0,4,3,1,3
9859324379,7,7.1,1,0,0,0,37,1,0,9,0,0,0,8/19/14,5/30/15,0,1,1.4,1,2,3,0,3
4785952231,7,7.1,1,1,0,0,26,1,0,14,0,0,1,6/23/15,4/3/16,0,1,1.3,1,4,2,0,3
1270185796,12,12.3,1,1,0,3,47,1,0,12,1,0,2,8/17/13,0,9,0,0,0,1,3,9,3
62484857,6,6.3,1,0,0,0,28,1,0,6,0,0,0,6/8/19,0,3,0,0,0,4,3,1,4
3392502096,12,12.3,0,0,0,0,26,1,1,11,0,0,2,8/4/19,0,3,0,0,0,4,3,2,3
6815224510,0,0.2,1,0,0,0,43,1,0,6,0,0,0,5/13/19,0,3,0,0,0,4,3,0,3
1936638777,10,10.1,1,1,0,0,29,1,0,8,1,0,2,2/22/21,8/16/21,0,1,1.2,1,2,2,0,4
9272598139,6,6.2,1,1,0,3,28,3,0,2,1,0,0,7/20/18,0,4,0,0,0,4,1,3,4
8438296592,4,4.3,1,1,0,0,39,3,0,3,0,0,1,11/16/15,0,7,0,0,0,2,2,2,3
7809755260,7,7.3,1,0,0,4,25,1,1,17,0,0,1,1/6/19,0,3,0,0,0,1,2,1,3
7351314038,12,12.2,1,0,0,3,35,1,0,9,0,0,2,8/19/15,8/27/16,1,1,1.4,1,3,3,0,3
9481633581,9,9.2,2,0,0,0,30,1,0,10,1,0,2,4/22/19,0,3,0,0,0,3,1,2,3
117092761,10,10.3,1,1,0,3,37,0,0,17,0,0,2,7/7/16,0,6,0,0,0,3,2,0,4
8270405811,9,9.2,2,1,0,0,29,1,0,8,0,0,2,4/18/12,0,10,0,0,0,3,4,0,3
5670437039,7,7.2,1,0,0,0,33,2,0,15,0,0,0,7/2/15,0,7,0,0,0,3,2,1,3
1711782397,12,12.3,1,0,0,0,33,1,0,15,1,0,2,6/29/17,6/26/18,0,1,1.3,1,2,4,0,3
1957896163,7,7.3,1,0,0,0,40,2,0,17,0,0,1,12/29/17,0,5,0,0,0,1,3,0,4
5823233568,1,1.1,1,0,0,0,22,1,0,15,0,0,1,8/31/15,0,7,0,0,0,1,3,7,3
5187621014,4,4.2,0,0,2,0,41,2,0,16,1,0,2,11/2/19,0,3,0,0,0,4,3,0,3
1548180323,6,6.2,1,1,0,0,32,0,0,16,0,0,0,6/26/19,4/13/21,1,1,1.3,1,3,3,0,3
5271756529,6,6.1,1,1,0,0,40,2,0,4,0,0,2,1/14/16,0,6,0,0,0,4,4,0,3
4471286397,12,12.1,1,0,0,0,22,1,0,4,1,0,2,1/25/17,0,5,0,0,0,4,3,2,4
8252142720,7,7.2,1,0,0,0,29,1,1,11,0,0,2,9/10/15,0,7,0,0,0,2,2,7,3
9023502315,7,7.2,1,1,0,4,26,1,0,7,0,0,0,8/27/15,5/31/17,1,1,1.1,1,3,3,0,3
395326658,6,6.2,1,0,0,0,52,1,1,17,1,0,1,3/22/16,0,6,0,0,0,4,3,2,3
3471465715,9,9.3,1,0,0,3,40,1,0,2,0,0,2,6/2/17,0,5,0,0,0,4,3,0,3
9741260931,4,4.3,2,1,0,0,26,1,0,9,0,0,1,9/9/17,0,5,0,0,0,1,2,4,4
3131759161,12,12.1,2,0,0,0,31,1,0,9,0,0,2,2/6/19,0,3,0,0,0,3,3,1,4
4337561326,11,11.2,0,1,0,0,49,1,1,17,1,0,2,4/12/18,5/10/20,2,1,1.1,1,4,3,0,3
5837683509,12,12.2,1,0,0,0,30,1,0,17,0,0,1,4/15/17,0,5,0,0,0,3,3,1,3
3689872226,11,11.1,1,0,0,5,53,1,0,20,1,0,1,3/21/13,0,9,0,0,0,2,3,2,3
1409152100,3,3.2,1,0,0,0,32,1,0,17,0,0,2,1/8/16,0,6,0,0,0,4,3,0,3
2857217034,6,6.2,1,0,0,3,48,1,0,5,1,0,1,1/15/18,12/16/18,0,1,1.1,1,1,3,1,3
8012458560,12,12.2,1,0,0,0,41,1,0,9,0,0,2,2/11/21,0,1,0,0,0,4,3,2,3
6880077561,5,5.1,1,0,0,0,42,1,1,11,0,0,2,5/9/18,0,4,0,0,0,4,3,0,4
887944917,12,12.2,1,0,0,0,41,1,0,7,1,0,2,3/19/20,0,2,0,0,0,4,4,1,3
3103666995,12,12.2,1,1,0,0,21,1,0,17,0,0,2,3/14/20,0,2,0,0,0,3,2,2,4
882333988,7,7.2,1,0,0,4,37,1,0,20,1,0,1,6/10/17,0,5,0,0,0,2,4,0,3
2308512911,11,11.1,1,0,3,0,37,1,0,12,0,0,1,11/21/15,0,7,0,0,0,2,3,1,3
5357100354,7,7.1,2,1,0,3,43,1,0,18,0,0,0,5/14/18,0,4,0,0,0,3,3,1,3
9664621525,12,12.3,1,0,0,0,22,1,1,11,1,0,2,5/1/17,0,5,0,0,0,3,2,0,3
6605918003,7,7.1,1,0,0,0,33,1,0,17,0,0,1,10/9/14,0,8,0,0,0,2,2,1,3
7886810823,12,12.2,1,0,0,3,31,2,0,6,0,0,2,1/19/15,0,7,0,0,0,4,2,2,3
2086423589,12,12.1,1,1,0,0,33,1,0,0,0,0,2,11/28/14,0,8,0,0,0,3,2,0,3
8300624180,1,1.2,1,1,0,0,30,1,0,6,0,0,0,4/8/12,2/28/14,1,1,1.4,1,4,3,1,3
81223024,11,11.3,0,1,0,3,36,1,1,11,0,0,2,7/11/14,0,8,0,0,0,1,2,2,3
2491385131,1,1.3,2,0,0,0,39,1,0,0,0,0,2,12/27/20,0,2,0,0,0,3,3,0,3
4889803209,9,9.2,0,1,0,0,29,1,0,7,0,0,2,2/9/12,0,10,0,0,0,4,3,1,3
5484306301,11,11.1,1,0,0,0,39,1,0,16,0,0,1,9/24/15,0,7,0,0,0,3,3,2,3
9329418241,3,3.1,2,0,0,1,24,2,0,9,0,0,1,11/19/20,0,2,0,0,0,3,3,0,3
2087340943,10,10.2,1,0,0,0,60,1,0,16,1,0,2,7/6/13,0,9,0,0,0,3,3,1,4
9952478026,3,3.3,1,1,0,0,33,1,0,12,0,0,2,5/26/13,0,9,0,0,0,2,3,2,4
8248208827,4,4.1,2,1,0,0,38,0,0,17,0,0,0,4/17/18,0,4,0,0,0,4,3,2,3
969506457,9,9.3,1,0,0,3,33,1,1,11,0,0,2,11/24/20,0,2,0,0,0,3,4,1,3
7245393338,11,11.1,0,1,0,0,26,1,0,16,1,1,2,11/11/15,0,7,0,0,0,3,3,2,3
7356619045,8,8.1,1,0,0,0,25,1,0,1,0,0,0,12/8/20,0,2,0,0,0,4,1,0,3
7101333077,0,0.2,1,1,0,0,34,1,0,14,0,0,1,4/3/19,0,3,0,0,0,1,4,2,4
942613964,12,12.1,1,1,0,0,41,1,0,8,0,0,2,3/13/17,0,5,0,0,0,4,2,2,3
1583513027,8,8.1,1,0,0,0,27,2,0,2,0,0,0,7/13/18,5/15/20,1,1,1.4,1,3,3,0,4
5170472610,3,3.2,1,0,0,1,26,1,0,12,0,0,0,7/7/14,7/7/16,2,1,1.6,1,3,2,1,3
6667155349,6,6.3,1,0,0,2,40,2,0,0,0,0,2,8/8/15,0,7,0,0,0,4,4,2,3
1620052826,11,11.1,1,0,0,0,21,2,0,3,0,0,1,9/22/21,0,1,0,0,0,1,3,0,3
1832890676,12,12.3,1,1,0,0,33,1,0,3,1,0,1,11/20/18,0,4,0,0,0,4,3,3,3
3359819138,3,3.2,1,0,0,0,36,1,1,11,0,0,0,10/5/20,11/27/20,0,1,1.3,1,1,2,2,3
7030746161,11,11.2,1,0,0,0,39,1,0,12,0,0,0,2/6/12,12/27/15,3,1,1.4,1,1,3,0,4
3631245540,6,6.3,2,0,0,1,21,2,1,11,0,0,0,3/9/12,0,10,0,0,0,2,3,1,3
9685942191,6,6.2,1,0,0,0,33,1,0,14,0,0,0,8/3/20,0,2,0,0,0,2,3,2,3
4186824812,3,3.3,1,1,0,0,24,1,0,5,0,0,2,1/22/12,1/22/17,5,1,1.4,1,2,3,0,3
4647191204,1,1.3,1,1,0,0,41,1,0,20,0,0,0,1/22/21,0,1,0,0,0,3,1,1,4
7949989015,11,11.1,1,1,0,0,26,1,1,17,0,0,0,4/8/14,4/30/16,2,1,1.6,1,2,1,2,3
8175153107,11,11.1,1,0,0,2,29,2,0,15,0,0,0,9/11/20,0,2,0,0,0,4,3,0,3
8203750045,11,11.1,2,0,0,0,39,1,0,18,0,1,2,2/25/20,0,2,0,0,0,3,3,1,3
910599059,3,3.2,1,0,0,0,34,1,1,17,0,0,2,5/17/17,0,5,0,0,0,3,3,2,3
6588715091,4,4.1,1,1,0,0,24,0,0,20,1,0,0,1/18/13,0,9,0,0,0,2,2,9,4
7131835885,5,5.1,1,0,0,0,38,1,1,11,0,0,1,8/22/14,0,8,0,0,0,4,2,1,3
2402494571,12,12.2,1,1,0,0,39,1,0,15,0,0,2,11/17/15,0,7,0,0,0,3,3,2,3
6564270778,11,11.2,1,0,0,0,40,1,0,8,0,0,1,10/26/17,0,5,0,0,0,4,3,0,4
8722256633,11,11.2,1,1,0,0,35,1,0,16,0,0,2,11/7/12,0,10,0,0,0,2,1,1,3
1118396701,4,4.1,1,0,0,3,23,1,0,7,0,0,0,4/28/19,0,3,0,0,0,4,1,1,3
9227353600,11,11.2,2,0,0,0,24,1,0,4,0,0,2,1/14/20,1/8/21,0,1,1.1,1,4,1,0,3
9926253049,3,3.2,1,1,0,0,32,2,0,1,0,0,2,11/11/16,0,6,0,0,0,3,2,1,3
9311402328,7,7.1,1,0,0,0,26,1,0,19,1,0,2,9/24/13,0,9,0,0,0,2,3,2,3
9487348502,12,12.1,1,1,0,0,33,1,1,17,0,0,2,12/3/15,0,7,0,0,0,3,3,7,3
5174670971,6,6.1,2,1,0,2,22,1,0,10,0,0,2,8/13/20,0,2,0,0,0,4,3,1,3
103727226,5,5.2,1,0,0,1,42,1,0,12,0,0,0,8/26/13,0,9,0,0,0,4,4,2,4
8646697855,4,4.1,1,0,0,0,30,1,0,5,1,0,1,6/26/20,0,2,0,0,0,3,3,0,4
2789085210,11,11.3,1,0,0,0,37,2,0,5,1,0,0,9/6/12,0,10,0,0,0,2,2,1,3
7754473816,7,7.2,0,0,0,0,31,2,0,17,0,0,2,11/21/21,0,1,0,0,0,1,4,2,4
7203790374,8,8.2,1,1,0,0,28,1,0,12,0,0,0,9/1/12,0,10,0,0,0,2,2,0,3
1390229694,4,4.1,1,0,0,3,24,1,0,13,1,0,2,2/3/21,0,1,0,0,0,1,3,1,3
7378615872,11,11.1,1,0,0,3,25,1,0,18,0,0,0,5/29/20,0,2,0,0,0,1,4,2,3
6611224171,10,10.3,0,0,0,3,34,1,1,17,0,0,2,6/30/13,0,9,0,0,0,1,3,9,3
6749177212,11,11.2,1,0,0,0,33,1,1,17,0,0,0,7/1/17,0,5,0,0,0,4,4,1,3
8236942363,6,6.1,2,0,0,0,34,1,1,11,0,0,1,1/20/21,0,1,0,0,0,4,2,2,4
2391819201,7,7.2,1,1,0,0,34,2,0,17,0,0,0,4/25/15,0,7,0,0,0,1,3,7,4
8260548271,11,11.2,1,1,0,2,62,1,0,15,1,0,0,2/11/19,0,3,0,0,0,4,3,2,3
8536617365,4,4.1,0,1,0,0,43,1,1,11,0,0,0,11/1/21,12/11/21,0,1,1.1,1,4,3,2,4
5142627872,7,7.3,1,0,0,2,28,1,0,16,1,0,1,2/3/12,0,10,0,0,0,2,3,0,3
7209310526,10,10.2,1,0,0,3,25,1,0,18,0,0,2,1/11/18,0,4,0,0,0,2,2,0,4
8462429353,0,0.1,1,0,0,3,29,2,0,2,0,0,0,3/2/18,0,4,0,0,0,3,2,1,3
4585933979,12,12.1,1,1,0,0,27,1,0,3,1,0,2,1/24/16,0,6,0,0,0,1,3,2,3
9653504244,12,12.1,1,1,0,2,35,1,0,4,0,0,2,1/24/21,0,1,0,0,0,2,3,3,3
9839281462,11,11.3,1,0,0,3,38,1,0,6,1,0,1,9/15/16,0,6,0,0,0,3,3,0,3
9260315537,12,12.1,1,1,0,0,40,1,0,3,0,0,2,2/5/18,0,4,0,0,0,2,3,2,3
4338468030,12,12.1,1,1,0,0,30,1,0,9,0,0,2,9/29/14,0,8,0,0,0,3,2,2,3
1304248753,12,12.3,1,0,0,0,36,2,0,16,0,0,2,4/26/12,2/8/14,1,1,1.4,1,2,3,3,3
5408871745,12,12.3,2,0,0,3,23,1,0,2,0,0,2,10/12/18,11/9/20,2,1,1.4,1,3,3,0,3
2191836438,11,11.3,2,0,0,0,31,1,0,9,0,0,2,6/16/17,0,5,0,0,0,2,2,1,3
9013548597,5,5.1,1,0,0,0,29,1,1,11,0,0,2,1/5/19,0,4,0,0,0,3,3,3,3
4594560695,11,11.2,1,0,0,0,29,1,0,0,1,0,0,12/20/14,0,8,0,0,0,4,4,0,3
1900453285,7,7.1,1,0,0,0,46,1,1,17,1,0,1,8/28/15,8/4/16,0,1,1.2,1,4,3,1,4
9284118912,0,0.2,1,0,0,0,30,3,1,5,0,0,0,3/26/18,0,4,0,0,0,1,2,0,3
9774468616,3,3.3,1,0,0,0,41,1,0,12,1,0,1,12/6/18,0,4,0,0,0,2,3,1,3
2268142296,6,6.3,2,0,0,0,24,1,0,15,0,1,2,4/1/12,0,10,0,0,0,3,3,1,3
5729252980,9,9.2,1,0,0,0,23,2,0,12,1,0,2,1/4/12,0,11,0,0,0,3,3,2,3
7124428125,1,1.3,0,0,0,0,32,1,0,17,0,0,2,7/1/17,4/27/18,0,1,1.3,1,4,1,0,3
213642904,5,5.3,0,0,0,1,31,2,0,19,0,0,2,9/29/21,9/29/21,0,1,1.4,1,1,3,1,3
6684010679,4,4.3,0,0,0,3,43,1,0,14,0,0,2,8/16/12,0,10,0,0,0,4,3,2,3
3177610664,12,12.3,1,0,0,0,37,2,0,6,0,0,2,5/1/16,0,6,0,0,0,3,4,0,3
1716766623,11,11.1,1,0,0,1,35,1,1,11,0,0,0,6/8/17,0,5,0,0,0,4,4,1,3
6916623115,12,12.1,1,1,0,0,21,1,0,2,1,0,1,4/17/18,0,4,0,0,0,1,3,2,3
2838288070,3,3.1,1,1,0,0,60,1,0,19,1,0,2,2/19/18,0,4,0,0,0,4,2,3,4
6024115407,12,12.3,1,1,0,3,29,1,0,17,0,0,2,6/5/13,0,9,0,0,0,2,2,1,3
1155740069,12,12.2,2,0,0,0,30,1,0,16,0,0,2,4/17/21,6/13/21,0,1,1.3,1,4,3,2,3
3145306755,11,11.3,1,1,0,0,39,1,0,6,0,0,1,3/25/14,0,8,0,0,0,4,1,0,3
6782383946,4,4.1,1,0,0,0,50,1,0,19,1,0,0,9/5/13,0,9,0,0,0,1,3,1,3
9226364156,3,3.3,1,1,0,1,44,1,0,0,0,0,0,6/18/17,0,5,0,0,0,4,2,2,3
698086933,6,6.3,1,1,0,0,37,1,0,4,0,0,2,8/29/18,0,4,0,0,0,3,3,0,4
6187680418,11,11.2,0,0,0,0,31,1,1,17,0,0,2,2/29/12,12/9/12,0,1,1.3,1,3,3,1,3
1721234950,1,1.1,2,0,0,5,40,1,1,17,0,0,0,11/28/14,0,8,0,0,0,2,1,2,3
9475511330,8,8.2,1,1,0,1,39,1,0,13,0,0,0,10/6/19,0,3,0,0,0,1,3,0,3
293030400,5,5.3,1,0,0,0,34,1,1,11,0,0,2,11/19/16,0,6,0,0,0,4,3,1,3
5675242636,11,11.2,1,1,0,3,38,1,0,2,0,0,2,5/14/14,0,8,0,0,0,1,2,2,3
4103072699,12,12.3,1,0,0,0,39,1,0,6,0,0,2,6/18/14,0,8,0,0,0,3,2,0,3
3231647302,7,7.1,1,1,0,0,32,1,1,17,1,0,2,11/3/17,0,5,0,0,0,4,3,1,3
6194578105,4,4.2,1,1,0,0,26,1,0,8,0,0,2,2/16/19,0,3,0,0,0,1,3,1,3
1179289214,6,6.2,1,1,0,1,32,1,0,2,0,0,1,1/4/21,0,2,0,0,0,2,4,0,3
741690883,12,12.1,1,0,0,4,26,2,0,16,0,0,2,6/2/13,0,9,0,0,0,2,3,1,4
5296632197,5,5.3,1,0,0,3,35,1,1,11,0,0,2,8/9/12,0,10,0,0,0,4,3,2,3
3223857108,0,0.1,1,1,0,0,36,1,1,11,1,0,1,2/11/14,0,8,0,0,0,3,2,0,3
5513199335,9,9.3,1,0,0,0,29,2,0,18,0,0,1,8/5/16,0,6,0,0,0,3,3,1,3
1673292265,10,10.3,1,0,0,0,26,2,0,13,0,0,2,4/14/20,2/7/21,0,1,1.3,1,4,3,2,3
5402532689,12,12.2,1,0,0,1,61,1,1,17,1,0,1,8/31/14,0,8,0,0,0,4,3,0,3
338669373,5,5.1,1,0,0,0,26,2,0,9,0,0,2,3/7/20,0,2,0,0,0,4,3,1,3
6358263882,12,12.1,1,1,0,0,41,1,0,19,0,0,2,9/21/16,0,6,0,0,0,3,4,2,3
5136284883,6,6.1,1,0,0,4,46,1,0,4,1,0,2,7/20/12,8/8/13,1,1,1.4,1,4,2,0,3
2774740477,11,11.1,1,1,0,0,30,1,0,17,0,0,1,5/13/14,0,8,0,0,0,4,2,1,3
130811916,1,1.2,1,0,0,0,28,1,1,5,0,0,0,5/24/15,0,7,0,0,0,4,3,2,3
2330345113,0,0.2,1,0,0,3,29,1,0,16,0,0,0,4/21/12,0,10,0,0,0,3,2,0,3
1091647106,12,12.2,3,0,0,0,46,1,0,19,1,0,2,7/10/17,0,5,0,0,0,4,2,1,3
62026776,6,6.2,1,0,0,0,38,1,0,5,0,0,0,4/7/21,0,1,0,0,0,4,1,2,3
553730775,11,11.3,1,1,0,0,27,1,1,5,0,0,0,1/30/12,11/4/12,0,1,1.4,1,4,3,0,4
